1,1,-1,0,1,1,-1,-1,0,Em jogo
0,-1,-1,1,0,1,1,1,-1,Em jogo
0,0,-1,1,0,-1,1,-1,0,Em jogo
-1,1,-1,-1,0,1,1,-1,1,Em jogo
-1,0,0,-1,1,0,1,0,1,Em jogo
-1,1,0,0,-1,0,1,1,0,Em jogo
-1,1,-1,-1,1,1,1,-1,0,Em jogo
0,1,0,1,0,0,-1,0,-1,Em jogo
0,-1,-1,0,-1,1,1,1,0,Em jogo
1,-1,1,1,0,0,0,-1,0,Em jogo
0,-1,1,-1,0,-1,0,1,1,Em jogo
1,-1,-1,1,1,0,0,1,-1,Em jogo
1,0,-1,1,0,0,0,0,0,Em jogo
-1,1,1,1,-1,0,0,0,0,Em jogo
0,1,1,0,1,-1,-1,0,0,Em jogo
0,1,0,-1,0,-1,0,1,0,Em jogo
0,1,1,-1,0,-1,1,-1,1,Em jogo
1,0,1,-1,1,-1,0,-1,-1,Em jogo
0,1,-1,-1,0,1,-1,0,0,Em jogo
1,-1,0,0,-1,0,1,1,0,Em jogo
0,1,1,1,-1,0,-1,-1,1,Em jogo
0,0,1,1,1,0,0,-1,-1,Em jogo
-1,1,1,-1,0,-1,0,-1,1,Em jogo
1,-1,0,-1,-1,0,1,0,1,Em jogo
1,-1,0,0,-1,1,-1,1,1,Em jogo
-1,1,1,-1,-1,0,0,1,1,Em jogo
1,0,-1,0,0,-1,1,-1,1,Em jogo
0,1,0,-1,0,-1,1,-1,1,Em jogo
1,0,0,-1,-1,0,-1,0,1,Em jogo
0,-1,0,0,-1,0,1,1,0,Em jogo
-1,-1,1,0,-1,1,1,1,0,Em jogo
1,-1,1,1,0,-1,0,-1,-1,Em jogo
0,1,0,-1,-1,0,0,-1,1,Em jogo
-1,1,-1,1,0,-1,1,-1,0,Em jogo
1,-1,0,-1,0,1,0,0,-1,Em jogo
0,0,1,0,-1,-1,1,0,-1,Em jogo
1,0,-1,-1,0,1,1,-1,-1,Em jogo
0,0,0,-1,0,0,-1,1,0,Em jogo
0,1,-1,0,0,-1,1,0,1,Em jogo
-1,1,1,-1,-1,1,0,0,0,Em jogo
1,1,-1,0,0,-1,0,-1,0,Em jogo
0,1,0,-1,-1,1,0,0,0,Em jogo
0,0,0,-1,0,-1,1,0,1,Em jogo
0,1,1,0,0,-1,1,-1,0,Em jogo
0,-1,-1,0,1,1,0,0,0,Em jogo
1,1,0,0,0,-1,0,0,0,Em jogo
1,-1,0,-1,0,1,0,1,0,Em jogo
1,-1,1,0,-1,-1,0,0,1,Em jogo
0,0,0,-1,1,-1,-1,0,1,Em jogo
1,0,-1,0,0,-1,0,0,0,Em jogo
-1,1,0,0,0,-1,0,-1,1,Em jogo
1,0,1,-1,0,-1,1,-1,0,Em jogo
0,-1,1,0,1,0,-1,1,0,Em jogo
-1,-1,1,0,0,-1,1,-1,1,Em jogo
0,0,0,1,-1,-1,-1,1,1,Em jogo
-1,0,-1,1,-1,0,0,0,1,Em jogo
1,1,-1,0,-1,-1,0,1,0,Em jogo
1,1,-1,1,-1,-1,0,0,1,Em jogo
0,0,1,0,0,-1,1,0,0,Em jogo
0,-1,1,-1,0,0,0,1,-1,Em jogo
-1,-1,0,0,1,-1,1,-1,1,Em jogo
1,1,-1,-1,1,0,0,0,0,Em jogo
0,0,-1,1,0,-1,-1,0,1,Em jogo
0,1,-1,0,0,0,0,-1,1,Em jogo
0,1,-1,0,-1,1,0,-1,1,Em jogo
-1,-1,0,0,-1,1,0,1,0,Em jogo
1,-1,0,0,0,-1,0,-1,1,Em jogo
-1,0,1,0,-1,1,1,0,0,Em jogo
1,-1,-1,1,1,-1,0,1,0,Em jogo
-1,-1,0,1,0,0,1,1,0,Em jogo
-1,-1,1,-1,0,0,0,1,1,Em jogo
0,1,1,-1,1,1,-1,-1,0,Em jogo
1,1,-1,-1,0,0,-1,0,0,Em jogo
-1,-1,1,1,1,-1,0,-1,0,Em jogo
1,-1,1,1,-1,1,-1,0,0,Em jogo
0,-1,0,1,-1,0,-1,0,1,Em jogo
1,0,-1,0,-1,1,1,1,-1,Em jogo
1,1,0,-1,0,0,0,1,-1,Em jogo
0,1,0,1,-1,0,0,0,-1,Em jogo
1,0,1,-1,0,0,1,0,-1,Em jogo
-1,-1,0,1,1,-1,-1,0,1,Em jogo
0,0,0,-1,1,-1,1,-1,0,Em jogo
1,0,1,-1,-1,1,0,0,0,Em jogo
-1,0,0,-1,-1,1,1,0,0,Em jogo
-1,0,0,1,0,1,0,0,-1,Em jogo
