x,x,x,x,o,o,x,o,o,x_win
x,x,x,x,o,o,o,x,o,x_win
x,x,x,x,o,o,o,o,x,x_win
x,x,x,x,o,o,o,b,b,x_win
x,x,x,x,o,o,b,o,b,x_win
x,x,x,x,o,o,b,b,o,x_win
x,x,x,x,o,b,o,o,b,x_win
x,x,x,x,o,b,o,b,o,x_win
x,x,x,x,o,b,b,o,o,x_win
x,x,x,x,b,o,o,o,b,x_win
x,x,x,x,b,o,o,b,o,x_win
x,x,x,x,b,o,b,o,o,x_win
x,x,x,o,x,o,x,o,o,x_win
x,x,x,o,x,o,o,x,o,x_win
x,x,x,o,x,o,o,o,x,x_win
x,x,x,o,x,o,o,b,b,x_win
x,x,x,o,x,o,b,o,b,x_win
x,x,x,o,x,o,b,b,o,x_win
x,x,x,o,x,b,o,o,b,x_win
x,x,x,o,x,b,o,b,o,x_win
x,x,x,o,x,b,b,o,o,x_win
x,x,x,o,o,x,x,o,o,x_win
x,x,x,o,o,x,o,x,o,x_win
x,x,x,o,o,x,o,o,x,x_win
x,x,x,o,o,x,o,b,b,x_win
x,x,x,o,o,x,b,o,b,x_win
x,x,x,o,o,x,b,b,o,x_win
x,x,x,o,o,b,x,o,b,x_win
x,x,x,o,o,b,x,b,o,x_win
x,x,x,o,o,b,o,x,b,x_win
x,x,x,o,o,b,o,b,x,x_win
x,x,x,o,o,b,b,x,o,x_win
x,x,x,o,o,b,b,o,x,x_win
x,x,x,o,o,b,b,b,b,x_win
x,x,x,o,b,x,o,o,b,x_win
x,x,x,o,b,x,o,b,o,x_win
x,x,x,o,b,x,b,o,o,x_win
x,x,x,o,b,o,x,o,b,x_win
x,x,x,o,b,o,x,b,o,x_win
x,x,x,o,b,o,o,x,b,x_win
x,x,x,o,b,o,o,b,x,x_win
x,x,x,o,b,o,b,x,o,x_win
x,x,x,o,b,o,b,o,x,x_win
x,x,x,o,b,o,b,b,b,x_win
x,x,x,o,b,b,x,o,o,x_win
x,x,x,o,b,b,o,x,o,x_win
x,x,x,o,b,b,o,o,x,x_win
x,x,x,o,b,b,o,b,b,x_win
x,x,x,o,b,b,b,o,b,x_win
x,x,x,o,b,b,b,b,o,x_win
x,x,x,b,x,o,o,o,b,x_win
x,x,x,b,x,o,o,b,o,x_win
x,x,x,b,x,o,b,o,o,x_win
x,x,x,b,o,x,o,o,b,x_win
x,x,x,b,o,x,o,b,o,x_win
x,x,x,b,o,x,b,o,o,x_win
x,x,x,b,o,o,x,o,b,x_win
x,x,x,b,o,o,x,b,o,x_win
x,x,x,b,o,o,o,x,b,x_win
x,x,x,b,o,o,o,b,x,x_win
x,x,x,b,o,o,b,x,o,x_win
x,x,x,b,o,o,b,o,x,x_win
x,x,x,b,o,o,b,b,b,x_win
x,x,x,b,o,b,x,o,o,x_win
x,x,x,b,o,b,o,x,o,x_win
x,x,x,b,o,b,o,o,x,x_win
x,x,x,b,o,b,o,b,b,x_win
x,x,x,b,o,b,b,o,b,x_win
x,x,x,b,o,b,b,b,o,x_win
x,x,x,b,b,o,x,o,o,x_win
x,x,x,b,b,o,o,x,o,x_win
x,x,x,b,b,o,o,o,x,x_win
x,x,x,b,b,o,o,b,b,x_win
x,x,x,b,b,o,b,o,b,x_win
x,x,x,b,b,o,b,b,o,x_win
x,x,x,b,b,b,o,o,b,x_win
x,x,x,b,b,b,o,b,o,x_win
x,x,x,b,b,b,b,o,o,x_win
x,x,o,x,x,o,o,o,x,x_win
x,x,o,x,o,x,x,o,o,x_win
x,x,o,x,o,o,x,o,x,x_win
x,x,o,x,o,o,x,b,b,x_win
x,x,o,x,o,b,x,o,b,x_win
x,x,o,x,o,b,x,b,o,x_win
x,x,o,x,b,o,x,o,b,x_win
x,x,o,x,b,b,x,o,o,x_win
x,x,o,o,x,x,o,x,o,x_win
x,x,o,o,x,x,o,o,x,x_win
x,x,o,o,x,o,x,o,x,x_win
x,x,o,o,x,o,o,x,x,x_win
x,x,o,o,x,o,b,x,b,x_win
x,x,o,o,x,o,b,b,x,x_win
x,x,o,o,x,b,o,x,b,x_win
x,x,o,o,x,b,o,b,x,x_win
x,x,o,o,x,b,b,x,o,x_win
x,x,o,o,x,b,b,o,x,x_win
x,x,o,b,x,o,o,x,b,x_win
x,x,o,b,x,o,o,b,x,x_win
x,x,o,b,x,o,b,o,x,x_win
x,x,o,b,x,b,o,x,o,x_win
x,x,o,b,x,b,o,o,x,x_win
x,x,b,x,o,o,x,o,b,x_win
x,x,b,x,o,o,x,b,o,x_win
x,x,b,x,o,b,x,o,o,x_win
x,x,b,x,b,o,x,o,o,x_win
x,x,b,o,x,o,o,x,b,x_win
x,x,b,o,x,o,o,b,x,x_win
x,x,b,o,x,o,b,x,o,x_win
x,x,b,o,x,o,b,o,x,x_win
x,x,b,o,x,b,o,x,o,x_win
x,x,b,o,x,b,o,o,x,x_win
x,x,b,b,x,o,o,x,o,x_win
x,x,b,b,x,o,o,o,x,x_win
x,o,x,x,x,o,x,o,o,x_win
x,o,x,x,x,o,o,o,x,x_win
x,o,x,x,o,o,x,x,o,x_win
x,o,x,x,o,o,x,b,b,x_win
x,o,x,x,o,b,x,b,o,x_win
x,o,x,x,b,o,x,o,b,x_win
x,o,x,x,b,o,x,b,o,x_win
x,o,x,x,b,b,x,o,o,x_win
x,o,x,o,x,x,x,o,o,x_win
x,o,x,o,x,x,o,o,x,x_win
x,o,x,o,x,o,x,x,o,x_win
x,o,x,o,x,o,x,o,x,x_win
x,o,x,o,x,o,x,b,b,x_win
x,o,x,o,x,o,o,x,x,x_win
x,o,x,o,x,o,b,b,x,x_win
x,o,x,o,x,b,x,o,b,x_win
x,o,x,o,x,b,x,b,o,x_win
x,o,x,o,x,b,o,b,x,x_win
x,o,x,o,x,b,b,o,x,x_win
x,o,x,o,o,x,o,x,x,x_win
x,o,x,o,o,x,b,b,x,x_win
x,o,x,o,b,x,o,b,x,x_win
x,o,x,o,b,x,b,o,x,x_win
x,o,x,b,x,o,x,o,b,x_win
x,o,x,b,x,o,x,b,o,x_win
x,o,x,b,x,o,o,b,x,x_win
x,o,x,b,x,o,b,o,x,x_win
x,o,x,b,x,b,x,o,o,x_win
x,o,x,b,x,b,o,o,x,x_win
x,o,x,b,o,x,o,b,x,x_win
x,o,x,b,b,x,o,o,x,x_win
x,o,o,x,x,x,x,o,o,x_win
x,o,o,x,x,x,o,x,o,x_win
x,o,o,x,x,x,o,o,x,x_win
x,o,o,x,x,x,o,b,b,x_win
x,o,o,x,x,x,b,o,b,x_win
